;2620
电气工程及其自动化（光伏发电）;3915
旅游服务与管理;3052
资源环境与城市规划管理;142
资源勘察;4341
计算机应用技术（日语方向）;2778
海洋渔业科学与技术专业;2643
计算机网络技术（远程医疗）;3611
财物管理;9098
机械类;6181
药物制剂本科;7055
工艺美术（本科）;7228
中国少数民族语言文学（彝英双语）;8488
数字印刷技术;3626
交通运输类;1510
统计学（二批）;5390
音乐教育（音乐、舞蹈表演）;5156
计算机科学与技术（微软IT教育）;2979
护理(医药卫生大类);6072
金融学类;515
环境工程（电力环保）;3871
软件外包服务（日语与信息技术方向）;8390
护理（社区方向）;1709
主持与播音（670307）;5123
视觉传达设计（动画与游戏美术）;3184
化学(国家特色专业、设有基础专业奖学金);6634
计算机应用技术（网络信息安全方向）;6555
公路运输与管理（交通运输管理）;1107
艺术设计（时装鞋设计）;8823
化学工程与工艺（精细化工方向）;5282
财务管理专业（财务与金融方向）;271
辐射防护与环境工程;3397
公共事业管理（医疗保险方向）;3819
艺术设计（分为：视觉传达方向、环境艺术设计方向）;6112
动物科学;288
文秘（非师范专业）;9058
材料类专业;1508
旅游管理（福清校区）;4637
计算机科学与技术(信息安全方向);6208
运动马驯养与管理;2218
汽车运用技术(营销与保险方向);5675
资源与环境经济学;2205
国际商务(海外本科直通车);4166
通信技术（理工类）;4848
日本研究;9400
工科试验班;77
化学（现代分析与测试技术）（本科）;7212
能源化学工程;232
畜牧兽医（宠物医疗）;3224
电气自动化技术（电气工程自动化与电力系统;3154
音乐表演(含声乐、器乐方向);6705
应用电子技术（硅材料方向）;8724
铁道交通运营管理文;5603
食品科学与工程学;2578
意大利语(Italiano);8068
护理学（幼儿保育方向）;8855
旅游管理(旅游大类);6063
广播影视编导;572
计算机应用技术(网络办公自动化方向);7410
视觉传达设计（本科，文理兼收）;8153
会计学（本科，文理兼收）;8129
劳动与社会保障(医疗保险方向);4459
土木工程(建筑工程方向);6345
影视广告（影视制作包装方向）;8257
电脑艺术设计(微电影制作方向);8222
自动化创新班（本硕连读）;6901
服装设计(人物形象设计与表演方向);747
动物药学（学制4年）;2294
印度尼西亚语;102
银行金融学;3752
舞蹈表演（体育舞蹈方向）专业;8952
汽车电子技术（检测与维修方面）;2397
体育教育专业（社会体育）;7255
旅游管理;195
计算机科学与技术(计算机网络);7036
产品造型设计;677
社会体育与指导管理;8632
物业管理（旅游房地产与物业管理方向）;6420
通信工程(4G移动通信方向);8462
药学专业;1635
市政工程技术;1606
指挥自动化工程;952
工商管理（航空经营管理）;3465
物流管理(国际物流管理方向）;7001
环境检测与治理技术;4194
教育學士學位小學教育;9382
汽车服务工程专业（汽车检测与维修方向）;7337
交通运输类（中外合作办学）;3025
计算机多媒体技术（数字影视制作）专业;8747
学前教育本科;1940
音乐学（理论作曲方向）;8616
综合理科教育;2083
音乐教育(师范类)(艺术类);4332
商务英语(原外贸英语);4901
社会体育指导与管理（福清校区）;4641
计算机软件技术（应用软件方向）;6725
计算机应用技术（网站开发与管理方向）;6439
财务管理(专科);5626
商务英语（本科）;5053
服装艺术系;8403
汉语言文学（高级文秘）;2605
语文教育（文秘办公自动化）;6264
数学与应用数学（经济数学方向）;5812
现代教育技术(师范);7682
产品质量工程;1445
计算机应用技术(.Net应用方向);5864
食品营养与检测（食品安全方向）;3119
经济学（金融学）;7039
计算机应用技术（嵌入式系统方向）;1761
政治学与行政学（周恩来政府管理学院）;1169
计算机信息管理（文理兼收）;4990
生物学基地班;2186
通信工程（本科，理工类）;8148
粮油储藏与检测技术;5609
航空服务管理（航空预科）;6850
工商企业管理(物流);727
美术学（国画、油画、装饰艺术，师范）（本科）;7226
电子信息科学与技术（本科）;7214
汽车检测与维修技术(SGAVE项目班);4014
酒店管理（本科）;7184
交通工程+软件工程;2523
日语（日英双语）;7024
电气工程及其自动化专业（理科）【四川省特色专业】;8596
市场营销教育;8920
经济统计学（会统核算）;4778
英语专业(商务英语);4320
轮机工程技术(现代船舶设备与管理);7402
公共事业管理（数字传媒经营与管理方向）;251
食品营养与检测(食品检测方向);2368
市场营销（网络营销）;7467
教育学(专科起点);1071
英日双语;2907
表演(播音与主持艺术);8321
考古学;2
液压与气动技术;1378
物联网工程（智能交通与车联网）;8302
信息应用与工业工程系;5029
旅游管理（邮轮游艇管理）专业;2466
经济法律事务;3110
文物与博物馆学(文物保护与修复方向);9217
海洋资源开发技术;2453
计算机科学与技术（数字仿真与游戏设计方向）;1427
临床医学（麻醉学方向）;4469
电子商务/涉外文秘;4190
会计学（审计、财务会计、会计信息化、;4296
中医学（中西医结合）（本硕连读）（与南京师范大学联合培养）;3828
作物生产技术;1693
广播电视编导专业;8962
建筑工程技术（施工技术）;7607
康复工程技术;3622
商务英语（会展策划与管理方向）;7719
　　视觉传达设计专业（四年制本科）;9303
石油与天然气地质勘探技术专业（理科）;8608
软件技术（网页设计师方向）;8255
英语教育（２年制）;2343
野生植物资源开发与利用;3118
园林技术专业（园林规划与设计方向）;1722
软件工程（软件技术）;4744
物联网工程专业;1247
建筑环境与设备工程专业;641
食品科学与工程类(中外合作办学)(食品科学与工程);6329
数字媒体艺术（界面与交互设计方向、录像与动画设计方向）;6941
乳品工艺;2428
计算机应用技术（软件技术，与微软合作办学;3952
城市检测与工程技术;3969
工程管理(房建工程项目管理）;4706
商检技术;8058
信息科学与技术;9341
计算机应用技术（数据库技术方向）;6440
市场营销（BTEC）;7368
土地资源管理（中英合作）;5330
机械设计及制造及其自动化（高分子材料加工;2629
轮机工程技术(船舶动力方向);6474
计算机网络技术（专科）;5042
环境艺术设计（景观设计）;4133
新闻采编与制作;795
中英电子商务（620405）;5141
计算机应用技术(信息管理方向);8447
医学营养;2799
英语(商务英语);6669
英语(科技英语方向);1218
计算机应用技术（网络工程与网络管理方向）;4117
音乐表演(学前教育方向);8232
计算机科学与技术（网络游戏方向）;8506
翻译专业（本科）;5945
学前教育（免费师范）;8001
音乐学(专科起点);1084
英语教育(师范类);4331
护理（麻醉护理方向）;6127
戏曲表演（戏曲表演、音乐伴奏方向）;3194
市场开发与营销（电信营销方向）;1744
软件工程(Java技术方向);5855
预科教育;6626
化学系;7876
会计电算化/商务英语;4056
艺术设计（电脑动画设计）;2595
高聚物生产技术;2438
金融学（农银长江班）;6357
工程造价（文理兼收）;4677
文化事业管理专业(广告学方向);1553
　　财政学专业（四年制本科）;9319
食品加工技术（水产品深加工方向）;7987
金融保险;449
软件设计（安卓应用开发方向）;6554
汽车制造与装配技术学制三年;5195
机械设计与制造;684
音乐舞蹈;6740
机械制造及其自动化（中专）　;4966
计算机及应用;4791
物流管理(现代物流);4426
建筑学（建筑装饰方向）;7900
